study_words,test,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testing.started,text_2.started,textbox.started,text_3.started,mouse.started,testing.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,_o_rd,board,old,,,,,0,4,4,10,24.66558490000898,,,,,,,,24.650855600004434,24.66558490000898,24.66558490000898,24.66558490000898,0.0022342000011121854,32.06682439999713,board,[-0.013888888888888888],[-0.3101851851851852],[1],[0],[0],[7.413222400005907],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_a_bl_,marble,old,,,,,0,5,5,11,32.081756500003394,,,,,,,,32.06768030000967,32.081756500003394,32.081756500003394,32.081756500003394,0.003220900005544536,35.800737800003844,marble,[-0.013888888888888888],[-0.30833333333333335],[0],[0],[1],[3.7293570000038017],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,t_hi_t,tshirt,old,,,,,0,6,6,2,35.81498950000969,,,,,,,,35.801592500007246,35.81498950000969,35.81498950000969,35.81498950000969,0.0025732999929459766,39.216068599998835,tshirt,[-0.012037037037037037],[-0.30833333333333335],[1],[0],[0],[3.411562599998433],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_li_e,police,old,,,,,0,7,7,7,39.231468300000415,,,,,,,,39.21661540000059,39.231468300000415,39.231468300000415,39.231468300000415,0.002066999993985519,42.39900440000929,police,[-0.012037037037037037],[-0.30925925925925923],[1],[0],[0],[3.1798053000093205],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,ta_l_,table,new,,,,,0,8,8,15,42.414599600000656,,,,,,,,42.39971959999821,42.414599600000656,42.414599600000656,42.414599600000656,0.0023446999985026196,44.782600000005914,table,[-0.012037037037037037],[-0.31203703703703706],[1],[0],[0],[2.380155200007721],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_st_r,poster,old,,,,,0,9,9,9,44.797810800009756,,,,,,,,44.78319960000226,44.797810800009756,44.797810800009756,44.797810800009756,0.002135300004738383,47.65000720000535,poster,[-0.007407407407407408],[-0.3194444444444444],[1],[0],[0],[2.863923099997919],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,bo_t_e,bottle,new,,,,,0,10,10,18,47.66479330000584,,,,,,,,47.651294499999494,47.66479330000584,47.66479330000584,47.66479330000584,0.003687399992486462,48.11570409999695,,[-0.007407407407407408],[-0.3194444444444444],[1],[0],[0],[0.46044710000569467],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,48.131205800003954,,,,,,,,48.11630270000023,48.131205800003954,48.131205800003954,48.131205800003954,0.0020800000056624413,56.13234110000485,cushion,"[-0.023148148148148147, -0.03333333333333333]","[-0.3296296296296296, -0.30833333333333335]","[1, 1]","[0, 0]","[0, 0]","[7.629856600004132, 8.013464800009388]",['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_oo_,book,old,,,,,0,12,12,13,56.14748860000691,,,,,,,,56.13317400000233,56.14748860000691,56.14748860000691,56.14748860000691,0.0024185000074794516,58.800637899999856,book,[-0.024074074074074074],[-0.32222222222222224],[1],[0],[0],[2.664737300001434],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_ou_e,mouse,old,,,,,0,13,13,3,58.81427170000097,,,,,,,,58.80120729999908,58.81427170000097,58.81427170000097,58.81427170000097,0.0023782000062055886,61.631767800005036,mouse,[-0.026851851851851852],[-0.3138888888888889],[1],[0],[0],[2.8276397999870824],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_ho_e,phone,old,,,,,0,14,14,12,61.64716350000526,,,,,,,,61.63259220001055,61.64716350000526,61.64716350000526,61.64716350000526,0.0029996999946888536,65.24883199999749,phone,[-0.026851851851851852],[-0.31296296296296294],[1],[0],[0],[3.612475200003246],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_nc_l,pencil,new,,,,,0,15,15,16,65.26371240000299,,,,,,,,65.24979950000125,65.26371240000299,65.26371240000299,65.26371240000299,0.0033033000072464347,69.31446740000683,pencil,[-0.025925925925925925],[-0.3148148148148148],[1],[0],[0],[4.060876000003191],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,v_s_,vase,new,,,,,0,16,16,17,69.33013519999804,,,,,,,,69.3151102999982,69.33013519999804,69.33013519999804,69.33013519999804,0.0036480999988270923,71.99770540000463,vase,[-0.027777777777777776],[-0.3138888888888889],[1],[0],[0],[2.6785520000121323],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,k_y_,keys,old,,,,,0,17,17,8,72.01370710000629,,,,,,,,71.99827180001012,72.01370710000629,72.01370710000629,72.01370710000629,0.0020231999951647595,74.31448570000066,keys,[-0.027777777777777776],[-0.31296296296296294],[1],[0],[0],[2.3135518000053708],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,l_pt_p,laptop,old,,,,,0,18,18,0,74.32974060000561,,,,,,,,74.31584680000378,74.32974060000561,74.32974060000561,74.32974060000561,0.00472480000462383,77.43227309999929,laptop,[-0.026851851851851852],[-0.3138888888888889],[1],[0],[0],[3.111426899995422],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_s_r_,pastry,old,,,,,0,19,19,4,77.44645480001054,,,,,,,,77.43280609999783,77.44645480001054,77.44645480001054,77.44645480001054,0.00224609998986125,81.04780840000603,pastry,[-0.032407407407407406],[-0.30925925925925923],[1],[0],[0],[3.6118932999961544],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
