delay,freq,condition,textbox.text,,,,,,,
0.1,1000,exp,789,,319,630,,,,
0.4,1000,exp,333,,547,770,,,,
0.7,400,unexp,34,,415,650,,,,
0.4,400,unexp,77,,347,300,,,,
0.7,1000,exp,12,,256,330,,,,
0.7,1000,exp,300,,415,670,,,,
0.1,400,unexp,700,,238,320,,,,
0.4,400,exp,150,,213,300,,,,
0.7,1000,unexp,173,,251,530,,,,
0.1,400,exp,140,,326,530,,,,
0.1,1000,unexp,100,,224,460,,,,
0.7,400,exp,210,,309,720,,,,
0.4,1000,unexp,311,,250,200,,,,
0.7,400,exp,129,,350,200,,,,
0.1,400,exp,179,,570,,,,,
0.7,1000,unexp,130,,589,,,,,
0.4,400,exp,110,,543,,,,,
0.1,1000,unexp,135,,658,,,,,
0.1,1000,unexp,125,,478,,,,,
0.4,1000,unexp,111,,671,,,,,
0.7,400,exp,222,,349,,,,,
0.7,400,exp,187,,457,,,,,
0.4,1000,unexp,231,,653,,,,,
0.1,400,exp,234,,650,,,,,
0.1,400,exp,123,,449,,,,,
0.7,400,exp,"200
",,670,,,,,
0.4,1000,unexp,130,,420,,,,,
0.7,400,exp,150,,230,,,,,
0.4,1000,unexp,170,,510,,,,,
0.1,400,exp,127,,900,,,,,
0.4,400,exp,148,,530,,,,,
0.7,1000,unexp,237,,790,,,,,
0.1,400,exp,321,,620,,,,,
0.1,1000,unexp,100,,700,,,,,
0.1,1000,unexp,400,,330,,,,,
0.4,1000,unexp,126,,"570
",,,,,
0.7,400,exp,147,,680,,,,,
0.1,1000,unexp,117,,690,,,,,
0.4,1000,unexp,142,,800,,,,,
0.1,1000,unexp,167,,650,,,,,
0.1,400,exp,"145
",,320,,,,,
0.7,1000,unexp,118,,360,,,,,
0.4,400,exp,300,,560,,,,,
0.7,400,exp,450,,590,,,,,
0.1,400,exp,250,,780,,,,,
0.1,1000,unexp,141,,780,,,,,
0.4,400,exp,127,,560,,,,,
0.4,1000,unexp,450,,890,,,,,
0.7,400,exp,278,,520,,,,,
0.1,1000,unexp,125,,570,,,,,
0.1,400,exp,132,,350,,,,,
0.7,400,exp,310,,430,,,,,
0.7,1000,unexp,"214
",,370,,,,,
0.1,400,exp,546,,790,,,,,
0.4,1000,unexp,239,,590,,,,,
0.4,1000,unexp,213,,780,,,,,
0.4,1000,unexp,210,,990,,,,,
0.1,1000,unexp,312,,770,,,,,
0.7,400,exp,500,,250,,,,,
0.1,400,exp,250,,580,,,,,
0.7,400,exp,550,,430,,,,,
0.4,400,exp,367,,640,,,,,
0.1,1000,unexp,211,,890,,,,,
0.1,400,exp,412,,740,,,,,
0.7,1000,unexp,210,,660,,,,,
0.1,400,exp,413,,590,,,,,
0.4,1000,unexp,419,,390,,,,,
0.7,400,exp,417,,450,,,,,
0.7,400,exp,319,,430,,,,,
0.4,400,exp,547,,740,,,,,
0.1,1000,unexp,631,,870,,,,,
0.1,1000,unexp,214,,420,,,,,
0.4,1000,unexp,659,,570,,,,,
0.1,400,exp,415,,640,,,,,
0.7,1000,unexp,378,,980,,,,,
0.7,400,exp,347,,120,,,,,
0.7,400,exp,256,,100,,,,,
0.4,1000,unexp,318,,790,,,,,
0.4,400,exp,415,,550,,,,,
0.7,1000,unexp,412,,310,,,,,
0.1,400,exp,238,,710,,,,,
0.1,1000,unexp,231,,450,,,,,
0.1,1000,unexp,421,,650,,,,,
0.4,1000,unexp,213,,880,,,,,
0.1,400,exp,213,,870,,,,,
0.4,400,exp,251,,250,,,,,
0.7,400,exp,326,,200,,,,,
0.1,1000,unexp,714,,200,,,,,
