staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.04151609999826178,,0.02365809999173507,0.04151609999826178,0.5451200999959838,0.5451200999959838,0.557498799986206,0.8571717999875546,1.3180194000015035,right,10.0,1,1,0.7633533999905922,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
1,2,8.0,1.3238962999894284,,1.3180968999804463,1.3238962999894284,1.8243110999756027,1.8243110999756027,1.8243110999756027,2.123983900004532,2.241938899998786,left,-8.0,1,1,0.4063294999941718,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
2,2,6.0,2.257432599988533,,2.2420451999932993,2.257432599988533,2.7572700000018813,2.7572700000018813,2.7572700000018813,3.056799599988153,3.209143899992341,left,-6.0,1,1,0.4477034999872558,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
3,2,4.0,3.223524000000907,,3.2092671999998856,3.223524000000907,3.7243277999805287,3.7243277999805287,3.7243277999805287,4.023744699981762,4.325351999985287,left,-4.0,1,1,0.598593400005484,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
4,2,2.0,4.340695199993206,,4.32543669998995,4.340695199993206,4.840969899989432,4.840969899989432,4.840969899989432,5.1406988999806345,5.29211729997769,left,-2.0,1,1,0.4453012000012677,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
5,1,1.0,5.307489500002703,,5.292227800004184,5.307489500002703,5.807038700004341,5.807038700004341,5.807038700004341,6.1070896000019275,6.208938700001454,left,-1.0,0,0,0.3959409999952186,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
6,1,2.0,6.223513899982208,,6.209053600003244,6.223513899982208,6.72326939998311,6.72326939998311,6.72326939998311,7.023781700001564,7.174961699987762,left,-2.0,1,1,0.44649969998863526,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
7,1,2.0,7.190695700002834,,7.175080499990145,7.190695700002834,7.674142199975904,7.674142199975904,7.690871700004209,7.9737762000004295,19.69154869997874,right,2.0,0,0,12.004776299989317,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
8,1,3.0,19.70637369999895,,19.69167109997943,19.70637369999895,20.206537899997784,20.206537899997784,20.206537899997784,20.506214799999725,35.307423099991865,left,-3.0,1,1,15.09002450000844,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
9,1,3.0,35.3221641999844,,35.30754959999467,35.3221641999844,35.82199149997905,35.82199149997905,35.82199149997905,36.12188419999438,36.67306129998178,right,3.0,1,1,0.8490735999948811,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
10,1,3.0,36.68847379999352,,36.67312779999338,36.68847379999352,37.18856270000106,37.18856270000106,37.18856270000106,37.488263999985065,37.739501899981406,right,3.0,1,1,0.5450262999802362,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
11,1,2.0,37.755162399989786,,37.73961589997634,37.755162399989786,38.238686299999245,38.238686299999245,38.25614099999075,38.53870149998693,38.755993200000376,left,-2.0,1,1,0.5099251999927219,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
12,1,2.0,38.77151419999427,,38.75605789999827,38.77151419999427,39.25507610000204,39.25507610000204,39.2718470999971,39.554868899984285,39.89061339999898,right,2.0,1,1,0.6304168000060599,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
13,1,2.0,39.90604139998322,,39.89084680000087,39.90604139998322,40.40545269998256,40.40545269998256,40.42211939999834,40.70493939999142,41.2069657999964,right,2.0,1,1,0.7877106000087224,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
14,1,1.0,41.221884200000204,,41.20706839999184,41.221884200000204,41.72161069998401,41.72161069998401,41.72161069998401,42.02176539998618,42.30618980000145,left,-1.0,1,1,0.5729297999932896,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
15,1,1.0,42.321406200004276,,42.306266600004165,42.321406200004276,42.82244369998807,42.82244369998807,42.82244369998807,43.122392799996305,43.69010089998483,right,1.0,1,1,0.8558372000115924,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
16,1,1.0,43.70572859997628,,43.69021359999897,43.70572859997628,44.205090599978575,44.205090599978575,44.205090599978575,44.50529539998388,49.557116899988614,left,-1.0,1,1,5.350365899997996,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
17,1,1.0,49.5713605999772,,49.55722349998541,49.5713605999772,50.07178189998376,50.07178189998376,50.07178189998376,50.37177440000232,50.48988959999406,left,-1.0,1,1,0.4159161999996286,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
18,0.5,1.0,50.50464549998287,,50.48999669999466,50.50464549998287,51.00510419998318,51.00510419998318,51.00510419998318,51.30487059999723,51.28890889999457,right,1.0,0,0,0.2747840999800246,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
19,0.5,1.5,51.30487059999723,,51.28899339999771,51.30487059999723,51.805310399999144,51.805310399999144,51.805310399999144,52.1053830999881,52.50555410000379,left,-1.5,1,1,0.6945410000043921,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
20,0.5,1.5,52.52141499999561,,52.505636099987896,52.52141499999561,53.00511599998572,53.00511599998572,53.02259989999584,53.3050774000003,53.488929499988444,left,-1.5,1,1,0.47327749998657964,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
21,0.5,1.5,53.50435069997911,,53.48902419998194,53.50435069997911,53.98755930000334,53.98755930000334,54.0044430999842,54.287701299996115,54.43977199998335,left,-1.5,1,1,0.442280799994478,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
22,0.5,1.0,54.454601299978094,,54.43990969998413,54.454601299978094,54.95433899998898,54.95433899998898,54.95433899998898,55.25438649998978,55.40601379997679,left,-1.0,1,1,0.44232749997172505,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
23,0.5,1.0,55.42081699997652,,55.40611899999203,55.42081699997652,55.92123889998766,55.92123889998766,55.92123889998766,56.22133410000242,56.67217889998574,right,1.0,1,1,0.7430303999863099,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
24,0.5,1.0,56.68783149999217,,56.672283199994126,56.68783149999217,57.17101089999778,57.17101089999778,57.18781699999818,57.47199069999624,58.00657859997591,right,1.0,1,1,0.8226995000150055,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
25,0.5,1.0,58.020919200003846,,58.006732399982866,58.020919200003846,58.52109589998145,58.52109589998145,58.52109589998145,58.822242399997776,59.12267399998382,right,1.0,1,1,0.589611600007629,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
26,0.5,1.0,59.13743139998405,,59.12276629998814,59.13743139998405,59.637280900002224,59.637280900002224,59.637280900002224,59.93777379998937,60.27153420000104,right,1.0,0,0,0.6203646000067238,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
27,0.5,1.5,60.28717399999732,,60.27162379998481,60.28717399999732,60.77157199999783,60.77157199999783,60.787850299995625,61.071318999980576,61.555873899982544,right,1.5,0,0,0.7806488999922294,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
28,0.5,2.0,61.57048309998936,,61.55597119999584,61.57048309998936,62.071019299997715,62.071019299997715,62.071019299997715,62.37078609998571,63.63921549997758,right,2.0,1,1,1.5637522999895737,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
29,0.5,2.0,63.65595499999472,,63.63932059999206,63.65595499999472,64.1538686999993,64.1538686999993,64.17093019999447,64.45409789998666,64.87272620000294,left,-2.0,1,1,0.7166164000227582,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
30,0.5,2.0,64.88784039998427,,64.8728416999802,64.88784039998427,65.38739449999412,65.38739449999412,65.38739449999412,65.68771539998124,66.23810759998742,right,2.0,1,1,0.8388524000183679,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
31,0.5,1.5,66.25446450000163,,66.23821349997888,66.25446450000163,66.73791119997622,66.73791119997622,66.7540100000042,67.03736980000394,67.8889556999784,left,-1.5,1,1,1.1350826999987476,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
32,0.5,1.5,67.9035369999765,,67.88907429997926,67.9035369999765,68.40455549999024,68.40455549999024,68.40455549999024,68.70394720000331,69.47185149998404,left,-1.5,1,1,1.0601412999967579,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
33,0.5,1.5,69.48770929998136,,69.4719413999992,69.48770929998136,69.9706492999976,69.9706492999976,69.98708279998391,70.27087720000418,70.95482349998201,right,1.5,1,1,0.9724552000116091,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
34,0.5,1.0,70.96994409998297,,70.95489659998566,70.96994409998297,71.47005929998704,71.47005929998704,71.47005929998704,71.77095609999378,72.18886110000312,left,-1.0,1,1,0.7097036000050139,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
35,0.5,1.0,72.20374219998484,,72.18895889999112,72.20374219998484,72.70373909999034,72.70373909999034,72.70373909999034,73.00344369999948,73.821529799985,left,-1.0,1,1,1.106317099998705,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
36,0.5,1.0,73.83647029998247,,73.82161279997672,73.83647029998247,74.336573699984,74.336573699984,74.336573699984,74.63725669999258,75.22243229998276,right,1.0,1,1,0.8786351000017021,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
37,0.5,1.0,75.2372880000039,,75.22258569998667,75.2372880000039,75.73664759998792,75.73664759998792,75.73664759998792,76.03720369999064,76.8890508999757,right,1.0,1,1,1.1491261999763083,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
38,0.5,1.0,76.90403479998349,,76.88914859999204,76.90403479998349,77.40405399998417,77.40405399998417,77.40405399998417,77.70346989997779,78.38810099998955,left,-1.0,1,1,0.9690570999810006,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
39,0.5,1.0,78.40298919999623,,78.38819129997864,78.40298919999623,78.90356049998081,78.90356049998081,78.90356049998081,79.20364749999135,80.45645800000057,left,-1.0,1,1,1.5495943000132684,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
40,0.5,1.0,80.47022920000018,,80.45657650000066,80.47022920000018,80.97033009998268,80.97033009998268,80.97033009998268,81.27016919999733,84.17223969998304,left,-1.0,0,0,3.1994465999887325,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
41,0.5,1.5,84.18646399999852,,84.17235939999227,84.18646399999852,84.68666599999415,84.68666599999415,84.68666599999415,84.98649999999907,93.63766789998044,left,-1.5,1,1,8.943175199994585,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
42,0.5,1.5,93.65268070000457,,93.63778669998283,93.65268070000457,94.1530792999838,94.1530792999838,94.1530792999838,94.45365260000108,119.02030010000453,right,1.5,1,1,24.858077300013974,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
43,0.5,1.5,119.03487869998207,,119.02042449999135,119.03487869998207,119.53476809998392,119.53476809998392,119.53476809998392,119.83483749997686,120.25359929999104,right,1.5,1,1,0.7156034999934491,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
44,0.5,1.0,120.2682397000026,,120.25369379998301,120.2682397000026,120.76803799998015,120.76803799998015,120.76803799998015,121.06755449998309,121.21921189999557,right,1.0,0,0,0.4340253999980632,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
45,0.5,1.5,121.2347058999876,,121.21931469999254,121.2347058999876,121.73479389998829,121.73479389998829,121.73479389998829,122.0351515999937,122.085699999996,right,1.5,1,1,0.33956160000525415,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
46,0.5,1.5,122.1013378999778,,122.08579059998738,122.1013378999778,122.60142089999863,122.60142089999863,122.60142089999863,122.90138369999477,123.35312849999173,right,1.5,0,0,0.7398572999809403,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
47,0.5,2.0,123.36809049997828,,123.35324689999106,123.36809049997828,123.86744549998548,123.86744549998548,123.86744549998548,124.16799679998076,125.21985979998135,right,2.0,1,1,1.3444146999972872,731809,001,2024-09-06_12h13.49.118,adaptive_staircase,2024.1.5,None,2024-09-06 12h13.57.033334 +0530,
