trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03340729998308234,,0.017038999998476356,0.03340729998308234,1.0730773999821395,1.0817252999986522,4.224428399989847,up,0,3.136909699998796,None,4,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
1,0,1,0,4.247851199994329,,4.226646499999333,4.247851199994329,5.231821299996227,5.24893410000368,6.1843708000087645,up,0,0.9459859000053257,None,4,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
2,0,2,0,6.19907279999461,,6.185675499989884,6.19907279999461,7.198821400001179,7.198821400001179,8.46713780000573,up,1,1.2623503999784589,None,0,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
3,0,3,0,8.48211650000303,,8.468494700005976,8.48211650000303,9.481908599991584,9.481908599991584,10.100565700005973,up,0,0.6076014999998733,None,-5,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
4,0,4,0,10.115499999985332,,10.101877799985232,10.115499999985332,11.115112700004829,11.115112700004829,11.783721099985996,down,1,0.6598556000099052,None,2,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
5,0,5,0,11.798700299987104,,11.785029399994528,11.798700299987104,12.798626600007992,12.798626600007992,13.650297899992438,down,1,0.836719200015068,None,2,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
6,0,6,0,13.664989599987166,,13.651579299999867,13.664989599987166,14.664576699986355,14.664576699986355,15.533299000002444,up,1,0.8558274000242818,None,0,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
7,0,7,0,15.547783699992578,,15.534644600003958,15.547783699992578,16.5484998000029,16.5484998000029,18.034896600001957,up,1,1.4825534999836236,None,0,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
8,0,8,0,18.048221300006844,,18.036222499998985,18.048221300006844,19.04808179999236,19.04808179999236,19.88365539998631,up,1,0.830727399996249,None,0,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
9,0,9,0,19.898091799987014,,19.885003700008383,19.898091799987014,20.89821879999363,20.89821879999363,21.899965699994937,down,1,0.9930726999882609,None,3,091006,001,2024-09-16_14h07.49.510,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h07.57.222905 +0530,
