trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.028051599976606667,,0.01523219997761771,0.028051599976606667,1.0692188999964856,1.0775536999863107,3.046645399997942,down,1,1.970987500011688,None,-5,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
1,0,1,0,3.061462899990147,,3.0492174999963026,3.061462899990147,4.061194399982924,4.061194399982924,4.930611899995711,down,1,0.8651275000011083,None,4,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
2,0,2,0,4.944617399974959,,4.932027899980312,4.944617399974959,5.944682499975897,5.944682499975897,6.796499899995979,down,1,0.8447878000151832,None,-4,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
3,0,3,0,6.8115182999754325,,6.797887900000205,6.8115182999754325,7.811434399976861,7.811434399976861,9.179357499990147,down,0,1.3575290000007953,None,0,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
4,0,4,0,9.194561199983582,,9.18076019998989,9.194561199983582,10.194570799998473,10.194570799998473,10.496015499986243,down,1,0.28576920001069084,None,-3,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
5,0,5,0,10.510977899975842,,10.497456399985822,10.510977899975842,11.51106129999971,11.51106129999971,11.82962609999231,up,1,0.3105251000088174,None,0,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
6,0,6,0,11.844324399979087,,11.831255999975838,11.844324399979087,12.84430229998543,12.84430229998543,12.896773699991172,up,0,0.05023509997408837,None,1,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
7,0,7,0,12.910987399984151,,12.898155599978054,12.910987399984151,13.91090219997568,13.91090219997568,14.195806099975016,down,0,0.2763959000003524,None,0,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
8,0,8,0,14.210936899995431,,14.197220399975777,14.210936899995431,15.21072419997654,15.21072419997654,29.2282260999782,down,1,14.009340999997221,None,-5,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
9,0,9,0,29.24367159997928,,29.229638299992075,29.24367159997928,30.243284999975003,30.243284999975003,30.628523299994413,up,1,0.37937839998630807,None,0,552324,001,2024-09-13_11h33.40.506,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h33.46.361133 +0530,
