trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.032863999978872016,,0.016875799978151917,0.032863999978872016,1.0725456999789458,1.0808254999865312,2.0076313999888953,up,1,0.9241973999887705,None,0,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
1,0,1,0,2.030223499983549,,2.0098421000002418,2.030223499983549,3.0150959999882616,3.031118399987463,4.048906999989413,up,0,1.0226132000098005,None,3,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
2,0,2,0,4.065179700002773,,4.050303099997109,4.065179700002773,5.064464900002349,5.064464900002349,5.749306099984096,up,1,0.6764818000083324,None,0,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
3,0,3,0,5.765183699986665,,5.750709999992978,5.765183699986665,6.764300499984529,6.764300499984529,7.783063599985326,down,1,1.009129899990512,None,4,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
4,0,4,0,7.798172499984503,,7.784513999999035,7.798172499984503,8.797475900006248,8.797475900006248,10.399235599994427,down,1,1.5957657000108156,None,4,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
5,0,5,0,10.414772999996785,,10.400554399995599,10.414772999996785,11.414038299990352,11.414038299990352,12.568638900003862,down,1,1.1485341000079643,None,3,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
6,0,6,0,12.582838999980595,,12.56994929999928,12.582838999980595,13.581328000000212,13.597237799986033,14.133247299992945,up,1,0.547899299999699,None,0,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
7,0,7,0,14.147922799980734,,14.134659400006058,14.147922799980734,15.147057099995436,15.147057099995436,15.998789999983273,down,1,0.8396095999924,None,2,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
8,0,8,0,16.014472799986834,,16.000210300000617,16.014472799986834,17.01376229999005,17.01376229999005,17.64849900000263,down,0,0.6226794999965932,None,0,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
9,0,9,0,17.664532599999802,,17.650135499978205,17.664532599999802,18.663801099988632,18.663801099988632,19.899534900003346,up,1,1.233872099983273,None,0,055924,001,2024-09-13_11h22.21.291,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h22.27.558974 +0530,
