trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04900120000820607,,0.0321715000027325,0.04900120000820607,1.0719147000054363,1.0808714000158943,8.909013600001344,down,0,7.826956000004429,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
1,0,1,0,8.930867700022645,,8.911672400019597,8.930867700022645,9.915135400020517,9.930932800023584,99.96192100000917,down,0,90.03915060000145,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
2,0,2,0,99.97681770002237,,99.96342240000376,99.97681770002237,100.9769524000003,100.9769524000003,101.14538680002443,up,0,0.1508036000013817,None,4,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
3,0,3,0,101.16015410001273,,101.14676770000369,101.16015410001273,102.1471531999996,102.15973410001607,179.80804380000336,down,0,77.65774220001185,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
4,0,4,0,179.82374510000227,,179.8094429000048,179.82374510000227,180.8226896999986,180.8226896999986,196.77377140001045,down,0,15.938590599980671,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
5,0,5,0,196.78960620000726,,196.77528620001976,196.78960620000726,197.78855009999825,197.78855009999825,209.32398440001998,up,0,11.52965630000108,None,1,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
6,0,6,0,209.33823100000154,,209.32618260002346,209.33823100000154,210.3391144000052,210.3391144000052,210.4900045999966,up,1,0.1349943999957759,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
7,0,7,0,210.50459590001265,,210.4913981000136,210.50459590001265,211.50451160001103,211.50451160001103,211.8400373000186,up,1,0.3328672000207007,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
8,0,8,0,211.854868000024,,211.841522600007,211.854868000024,212.8544905000017,212.8544905000017,213.32282349999878,up,1,0.4625819000066258,None,0,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
9,0,9,0,213.3394815000065,,213.32428870000876,213.3394815000065,214.33894460002193,214.35467300002347,214.57283410002128,up,0,0.22853600000962615,None,2,977896,001,2024-09-13_11h24.15.544,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h24.21.484620 +0530,
