trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0289076000044588,,0.011791299999458715,0.0289076000044588,1.070773100014776,1.0780066000006627,2.703414099989459,up,1,1.6118591999984346,None,0,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
1,0,1,0,2.7271683999861125,,2.705221599986544,2.7271683999861125,3.71167270001024,3.7287372999999207,4.563544800010277,up,1,0.8450709999888204,None,0,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
2,0,2,0,4.5783856000052765,,4.564853899995796,4.5783856000052765,5.578343200002564,5.578343200002564,6.581447200005641,down,1,0.9916684000054374,None,-4,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
3,0,3,0,6.594892799999798,,6.582724800013239,6.594892799999798,7.595005200011656,7.595005200011656,8.014245099999243,up,1,0.4084493999835104,None,0,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
4,0,4,0,8.028235500009032,,8.015513999998802,8.028235500009032,9.028367299993988,9.028367299993988,9.397282299993094,up,1,0.35989610000979155,None,0,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
5,0,5,0,9.411514600011287,,9.398580800014315,9.411514600011287,10.411424899997655,10.411424899997655,11.063317299995106,down,0,0.6413092000002507,None,0,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
6,0,6,0,11.077937900001416,,11.064663199998904,11.077937900001416,12.078036199993221,12.078036199993221,12.815873099985765,down,1,0.7325842000136618,None,4,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
7,0,7,0,12.843147700012196,,12.820853499986697,12.843147700012196,13.827870200009784,13.84451279998757,14.365022899990436,down,1,0.5314142999995966,None,-4,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
8,0,8,0,14.37790349998977,,14.366331199998967,14.37790349998977,15.378103600000031,15.378103600000031,15.963296300004004,down,1,0.5762245000223629,None,-2,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
9,0,9,0,15.977737100009108,,15.964604100008728,15.977737100009108,16.977765299991006,16.977765299991006,17.696279600000707,up,0,0.7105574999877717,None,2,891253,001,2024-09-16_14h14.56.730,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h15.03.750916 +0530,
