trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.061682999978074804,,0.04563969999435358,0.061682999978074804,1.0855757999815978,1.0931615000008605,2.8857203999941703,down,1,1.7820667000196408,None,-5,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
1,0,1,0,2.909440099989297,,2.8875464999873657,2.909440099989297,3.89381159999175,3.9105643999937456,5.112168399995426,down,1,1.2081693000218365,None,4,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
2,0,2,0,5.127005199989071,,5.113458499981789,5.127005199989071,6.126523399987491,6.126523399987491,6.745669700001599,up,1,0.6091246000141837,None,0,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
3,0,3,0,6.760212299996056,,6.746972099994309,6.760212299996056,7.760143299994525,7.760143299994525,8.428444799996214,up,1,0.6527658000122756,None,0,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
4,0,4,0,8.443509799981257,,8.429764700005762,8.443509799981257,9.44346399998176,9.44346399998176,10.245768699998735,down,1,0.7998735000146553,None,-4,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
5,0,5,0,10.260040299996035,,10.247038899979088,10.260040299996035,11.259860799997114,11.259860799997114,11.678412899986142,up,1,0.4012003999960143,None,0,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
6,0,6,0,11.693276799982414,,11.679770399990957,11.693276799982414,12.693311499984702,12.693311499984702,13.24489440000616,down,1,0.5430262000008952,None,1,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
7,0,7,0,13.25984869999229,,13.246253799996339,13.25984869999229,14.259956099995179,14.259956099995179,14.961691999982577,down,1,0.6840878000075463,None,-4,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
8,0,8,0,14.97638609999558,,14.962988799990853,14.97638609999558,15.976275299995905,15.976275299995905,16.52836599998409,up,1,0.5453108999936376,None,0,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
9,0,9,0,16.54297999999835,,16.529646999988472,16.54297999999835,17.54305249999743,17.54305249999743,18.14672769999015,up,1,0.5937701000075322,None,0,735928,001,2024-09-16_14h26.38.233,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h26.46.831157 +0530,
