trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03020700000342913,,0.013584500004071742,0.03020700000342913,1.0708792000077665,1.0795348000247031,1.6884662000229582,up,1,0.6026643000077456,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
1,0,1,0,1.711883800016949,,1.690265500015812,1.711883800016949,2.6963852000189945,2.7131182000157423,3.5651435000181664,up,1,0.862379600002896,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
2,0,2,0,3.5799677000031807,,3.5664948000048753,3.5799677000031807,4.579845000000205,4.579845000000205,5.54832780000288,down,1,0.9655620999983512,None,4,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
3,0,3,0,5.562838100013323,,5.549617800017586,5.562838100013323,6.5626147000002675,6.5626147000002675,7.264694100013003,up,1,0.6884668999991845,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
4,0,4,0,7.279482700017979,,7.266122400003951,7.279482700017979,8.279268400016008,8.279268400016008,8.89892000000691,up,1,0.6067327999917325,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
5,0,5,0,8.912730900017777,,8.900301800022135,8.912730900017777,9.912775800010422,9.912775800010422,10.798231699998723,up,1,0.8792682999919634,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
6,0,6,0,10.812793900026008,,10.799546800000826,10.812793900026008,11.812619000003906,11.812619000003906,13.515139900002396,up,0,1.7005294999980833,None,1,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
7,0,7,0,13.528975499997614,,13.516430400020909,13.528975499997614,14.528908000007505,14.528908000007505,15.498097000003327,up,1,0.964220199995907,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
8,0,8,0,15.512310500023887,,15.499463000014657,15.512310500023887,16.512473400012823,16.512473400012823,17.41417630002252,down,1,0.8867055999871809,None,1,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
9,0,9,0,17.428978500014637,,17.415453900001012,17.428978500014637,18.429539000004297,18.429539000004297,19.214947000000393,up,1,0.7817402000073344,None,0,779132,001,2024-09-16_14h31.14.159,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h31.21.299036 +0530,
