trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.029041200003121048,,0.013725800003157929,0.029041200003121048,1.1081274999887682,1.1284046999935526,16.42970919999061,down,1,15.304167399997823,None,4,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
1,0,1,0,16.44501820000005,,16.431521199992858,16.44501820000005,17.444674099999247,17.444674099999247,18.713518500007922,up,1,1.2655750999983866,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
2,0,2,0,18.727749799989397,,18.71511659998214,18.727749799989397,19.727763500006404,19.727763500006404,20.42973959998926,up,1,0.6966900000115857,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
3,0,3,0,20.444420699990587,,20.431051799998386,20.444420699990587,21.444427899987204,21.444427899987204,21.980533699999796,up,1,0.5288815000094473,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
4,0,4,0,21.994476899999427,,21.981903300009435,21.994476899999427,22.994493500009412,22.994493500009412,24.06271269998979,down,1,1.051073600014206,None,-3,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
5,0,5,0,24.078991199989105,,24.06401370000094,24.078991199989105,25.077469999989262,25.094254900002852,26.629390099988086,down,0,1.5374228000000585,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
6,0,6,0,26.644381699996302,,26.63070370000787,26.644381699996302,27.64408120000735,27.64408120000735,27.995946799986996,up,1,0.33613989999867044,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
7,0,7,0,28.010682799998904,,27.997371100005694,28.010682799998904,29.010555999993812,29.010555999993812,29.296128999994835,up,1,0.2713260999880731,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
8,0,8,0,29.310698499990394,,29.29741559998365,29.310698499990394,30.3106055999815,30.3106055999815,30.5960819000029,up,1,0.2682885999965947,None,0,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
9,0,9,0,30.61083019999205,,30.59740589998546,30.61083019999205,31.61068250000244,31.61068250000244,117.10881579999113,down,1,85.49418419998256,None,-4,892883,001,2024-09-16_14h05.22.698,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h05.33.230032 +0530,
