trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.023257900000317022,,0.005938000016612932,0.023257900000317022,1.0847075000056066,1.1050648000091314,1.6826799999980722,up,1,0.5889597999921534,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
1,0,1,0,1.7051781000045594,,1.6844429000047967,1.7051781000045594,2.6896459000126924,2.7063219000119716,3.224924500013003,up,1,0.5176891000010073,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
2,0,2,0,3.239426200016169,,3.226219600008335,3.239426200016169,4.23872660001507,4.23872660001507,4.8084849000151735,up,1,0.5637889000063296,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
3,0,3,0,4.822835400002077,,4.809807300014654,4.822835400002077,5.822779300011462,5.822779300011462,6.392035099997884,up,1,0.5655739000067115,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
4,0,4,0,6.406020399997942,,6.393677400017623,6.406020399997942,7.406192200025544,7.406192200025544,7.907823100016685,up,1,0.48683740000706166,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
5,0,5,0,7.922765700001037,,7.9091009000258055,7.922765700001037,8.922673699998995,8.922673699998995,9.392226700001629,up,1,0.46417449999717064,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
6,0,6,0,9.405777300009504,,9.393603700009407,9.405777300009504,10.405936100025428,10.405936100025428,11.357751500006998,up,0,0.9368273000000045,None,-3,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
7,0,7,0,11.37237830000231,,11.359072999999626,11.37237830000231,12.355832500004908,12.372383100009756,13.224131399998441,up,0,0.8542115000018384,None,-4,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
8,0,8,0,13.239112500014016,,13.22542910001357,13.239112500014016,14.239066400012234,14.239066400012234,14.774128400022164,up,1,0.5187240999948699,None,0,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
9,0,9,0,14.789119000022765,,14.775466899998719,14.789119000022765,15.789050200022757,15.789050200022757,16.607168700022157,up,0,0.8054740999941714,None,-3,415831,001,2024-09-16_14h28.01.823,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h28.08.125058 +0530,
