trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,25.58724419993814,,25.53936709999107,10,25.58724419993814,25.58724419993814,0.033139699953608215,26.782151899999008,[0.3074074074074074],[0.012037037037037037],[1],[0],[0],[1.2102505000075325],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
11,0,11,0,26.822001799941063,,26.789361899951473,5,26.822001799941063,26.822001799941063,0.023616299964487553,27.555344799999148,[0.44907407407407407],[0.15],[1],[0],[0],[0.7429954999824986],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
12,0,12,0,27.60144959995523,,27.562888200045563,5,27.60144959995523,27.60144959995523,0.027603199938312173,28.658844899968244,[-0.5444444444444444],[0.2490740740740741],[1],[0],[0],[1.069296900066547],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
13,0,13,0,28.72940389998257,,28.666547399945557,10,28.72940389998257,28.72940389998257,0.04733550001401454,29.380688500008546,[-0.4324074074074074],[0.15555555555555556],[1],[0],[0],[0.6677884999662638],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
14,0,14,0,29.447431699954905,,29.3881706999382,10,29.447431699954905,29.447431699954905,0.04375020007137209,32.95814220001921,[-0.37592592592592594],[-0.23425925925925925],[1],[0],[0],[3.527031400008127],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
15,0,15,0,33.02564839995466,,32.96561670000665,10,33.02564839995466,33.02564839995466,0.0434540999121964,34.36763210000936,[0.4675925925925926],[0.09907407407407408],[1],[0],[0],[1.359215300064534],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
16,0,16,0,34.4075888999505,,34.374833500012755,5,34.4075888999505,34.4075888999505,0.022354200016707182,35.79232789995149,[-0.03796296296296296],[-0.19722222222222222],[1],[0],[0],[1.3958769999444485],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
17,0,17,0,35.86121609993279,,35.80007060000207,10,35.86121609993279,35.86121609993279,0.045856700045987964,37.10376600001473,[-0.15925925925925927],[0.3037037037037037],[1],[0],[0],[1.2590180999832228],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
18,0,18,0,37.156411699950695,,37.108430100022815,5,37.156411699950695,37.156411699950695,0.03187169996090233,37.9709215000039,[0.09074074074074075],[0.2111111111111111],[1],[0],[0],[0.8309731999179348],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
19,0,19,0,38.00568689999636,,37.97721489996184,5,38.00568689999636,38.00568689999636,0.019162200042046607,38.70709469995927,[-0.08981481481481482],[0.13518518518518519],[1],[0],[0],[0.7111847999040037],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
20,0,20,0,38.76562409999315,,38.71442229999229,10,38.76562409999315,38.76562409999315,0.035310299950651824,39.61900860001333,[0.22777777777777777],[0.22870370370370371],[1],[0],[0],[0.8700072000501677],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
21,0,21,0,39.68605469993781,,39.62617309996858,10,39.68605469993781,39.68605469993781,0.0447342999977991,40.438316000043415,[0.3],[0.2712962962962963],[1],[0],[0],[0.7681740000844002],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
22,0,22,0,40.5094505000161,,40.445915299933404,10,40.5094505000161,40.5094505000161,0.048179800040088594,41.46197269996628,[0.11944444444444445],[0.2490740740740741],[1],[0],[0],[0.9691552999429405],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
