short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
air,,0,0,0,4,,,,,0.4838918999885209,,0.13366019999375567,0.4838918999885209,1.0091704999795184,1.4923177000018768,5.009259599959478,4.993342700006906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
sun,,0,1,1,2,,,,,5.009259599959478,,4.994146999961231,5.009259599959478,6.008836299995892,6.008836299995892,10.0091139000142,9.992890399997123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
egg,,0,2,2,3,,,,,10.0091139000142,,9.993409599992447,10.0091139000142,11.00852540001506,11.00852540001506,15.008506799989846,14.992725499963854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
bus,,0,3,3,1,,,,,15.008506799989846,,14.993227700004354,15.008506799989846,16.008256700006314,16.008256700006314,20.008337599982042,19.992534299963154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
cat,,0,4,4,0,,,,,20.008337599982042,,19.99303479999071,20.008337599982042,21.00817129999632,21.00817129999632,25.008243799966294,24.99225720000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,,,,,,,,,,,,,,,,,,24.992356600007042,25.008243799966294,33.00938209996093,33.00938209996093,33.00938209996093,8.008850499987602,42.92529459996149,"air
sun
egg
bus
cat",[-0.053703703703703705],[-0.2833333333333333],[1],[0],[0],[9.914816999982577],['text_3'],,,,,,,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,crocodile,,,,,0,0,0,0,42.9439057999989,,,,,,,,,,,,,,,,,,,,,,,42.9369977999595,42.9439057999989,43.94107770000119,43.95726439997088,47.940048999967985,47.92472979996819,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,umbrella,,,,,0,1,1,4,47.940048999967985,,,,,,,,,,,,,,,,,,,,,,,47.925339700013865,47.940048999967985,48.94016030000057,48.94016030000057,52.94016960001318,52.92404909996549,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,jewelery,,,,,0,2,2,1,52.94016960001318,,,,,,,,,,,,,,,,,,,,,,,52.92468719999306,52.94016960001318,53.93984919996001,53.93984919996001,57.93975389999105,57.923947700008284,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,mountain,,,,,0,3,3,2,57.93975389999105,,,,,,,,,,,,,,,,,,,,,,,57.92449239996495,57.93975389999105,58.93950290000066,58.93950290000066,62.93957759998739,62.923677999991924,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,notebook,,,,,0,4,4,3,62.93957759998739,,,,,,,,,,,,,,,,,,,,,,,62.92419459996745,62.93957759998739,63.93950470001437,63.93950470001437,67.93961309996666,67.9238033000147,,,,,,,,,,,,,,,,655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9239077999955,67.93961309996666,75.94017229997553,75.94017229997553,75.94017229997553,8.014752899995074,76.0394254999701,,[-0.053703703703703705],[-0.2824074074074074],[1],[0],[0],[0.09850029996596277],['text_4'],655870,001,2024-12-04_16h48.59.831,Solo_Project,2024.1.5,None,2024-12-04 16h49.21.381734 +0530,
