short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.022322400007396936,,0.015593299991451204,0.022322400007396936,1.0134102000156417,1.0299500999972224,5.013168599980418,4.99719309998909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
cat,,0,1,1,0,,,,,5.013168599980418,,4.99769579997519,5.013168599980418,6.013020999962464,6.013020999962464,10.012885899981484,9.99703159998171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
air,,0,2,2,4,,,,,10.012885899981484,,9.99755329999607,10.012885899981484,11.012792599969544,11.012792599969544,15.012589199992362,14.99703229998704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
sun,,0,3,3,2,,,,,15.012589199992362,,14.997550099971704,15.012589199992362,16.01265729998704,16.01265729998704,20.01234519999707,19.99645450001117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
egg,,0,4,4,3,,,,,20.01234519999707,,19.996988200000487,20.01234519999707,21.012235399975907,21.012235399975907,25.012159099976998,24.99639579997165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,,,,,,,,,,,,,,,,,,24.996509399963543,25.012159099976998,33.01731349999318,33.01731349999318,33.01731349999318,8.016900799993891,49.328834899992216,"egg
sun
bus
air
","[0.011111111111111112, 0.03888888888888889]","[0.009259259259259259, -0.29444444444444445]","[1, 1]","[0, 0]","[0, 0]","[4.131067699985579, 16.31080460001249]",['text_3'],,,,,,,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,notebook,,,,,0,0,0,3,49.34454600000754,,,,,,,,,,,,,,,,,,,,,,,49.336991999996826,49.34454600000754,50.34414130001096,50.34414130001096,54.34422709996579,54.3281619999907,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,mountain,,,,,0,1,1,2,54.34422709996579,,,,,,,,,,,,,,,,,,,,,,,54.32854999997653,54.34422709996579,55.3440746999695,55.3440746999695,59.34375820000423,59.32822039996972,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,crocodile,,,,,0,2,2,0,59.34375820000423,,,,,,,,,,,,,,,,,,,,,,,59.328746300016064,59.34375820000423,60.34373049996793,60.34373049996793,64.34364589996403,64.32773829996586,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,umbrella,,,,,0,3,3,4,64.34364589996403,,,,,,,,,,,,,,,,,,,,,,,64.32812999997986,64.34364589996403,65.34353519999422,65.34353519999422,69.34316469996702,69.32760570000391,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,jewelery,,,,,0,4,4,1,69.34316469996702,,,,,,,,,,,,,,,,,,,,,,,69.32810109999264,69.34316469996702,70.34336080000503,70.34336080000503,74.34315099997912,74.32739669998409,,,,,,,,,,,,,,,,6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3275200999924,74.34315099997912,82.34261920000426,82.34261920000426,82.34261920000426,8.013762499962468,107.54210889997194,"jewelery
umbrella","[0.028703703703703703, 0.028703703703703703, 0.028703703703703703, 0.03888888888888889, 0.03888888888888889, 0.030555555555555555, 0.030555555555555555, 0.022222222222222223, 0.040740740740740744]","[0.02962962962962963, 0.02962962962962963, 0.02962962962962963, 0.028703703703703703, 0.028703703703703703, 0.03148148148148148, 0.03148148148148148, 0.03148148148148148, -0.2962962962962963]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.916672600025777, 10.551161400042474, 10.718473499990068, 11.716627100016922, 11.899744099995587, 12.716874700039625, 12.899682199989911, 13.75218730000779, 25.198781399987638]",['text_4'],6,001,2024-12-04_16h39.32.367,Solo_Project,2024.1.5,None,2024-12-04 16h39.54.376292 +0530,
