short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cat,,0,0,0,0,,,,,0.02289070002734661,,0.016193300019949675,0.02289070002734661,1.0137219000025652,1.030612300033681,5.013721700001042,4.998071800044272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
sun,,0,1,1,2,,,,,5.013721700001042,,4.998576900048647,5.013721700001042,6.013642300036736,6.013642300036736,10.013379500014707,9.99773170001572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
air,,0,2,2,4,,,,,10.013379500014707,,9.99825880001299,10.013379500014707,11.013507800002117,11.013507800002117,15.013155900000129,14.9974764000508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
bus,,0,3,3,1,,,,,15.013155900000129,,14.998013900010847,15.013155900000129,16.01305400003912,16.01305400003912,20.012891300022602,19.997112900018692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
egg,,0,4,4,3,,,,,20.012891300022602,,19.997639400011394,20.012891300022602,21.012760500016157,21.012760500016157,25.01280190004036,24.996961600030772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,,,,,,,,,,,,,,,,,,24.997080800007097,25.01280190004036,33.02377150004031,33.02377150004031,33.02377150004031,8.023502300027758,44.97957970004063,"cat
air
sun
egg
bus","[0.005555555555555556, -0.018518518518518517]","[0.014814814814814815, -0.29907407407407405]","[1, 1]","[0, 0]","[0, 0]","[3.3849353999830782, 11.955013300001156]",['text_3'],,,,,,,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,jewelery,,,,,0,0,0,1,44.99500260001514,,,,,,,,,,,,,,,,,,,,,,,44.9866117000347,44.99500260001514,45.99483780004084,45.99483780004084,49.99491220002528,49.97902680002153,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,mountain,,,,,0,1,1,2,49.99491220002528,,,,,,,,,,,,,,,,,,,,,,,49.979569700022694,49.99491220002528,50.99465510004666,50.99465510004666,54.994448900048155,54.97855870000785,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,crocodile,,,,,0,2,2,0,54.994448900048155,,,,,,,,,,,,,,,,,,,,,,,54.97896200005198,54.994448900048155,55.99426060001133,55.99426060001133,59.99421320005786,59.9787309000385,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,notebook,,,,,0,3,3,3,59.99421320005786,,,,,,,,,,,,,,,,,,,,,,,59.97926880000159,59.99421320005786,60.9941722000367,60.9941722000367,64.99411990004592,64.97834780003177,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,umbrella,,,,,0,4,4,4,64.99411990004592,,,,,,,,,,,,,,,,,,,,,,,64.978866200021,64.99411990004592,65.99382010003319,65.99382010003319,69.99383400002262,69.9778256000136,,,,,,,,,,,,,,,,5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97791420004796,69.99383400002262,77.99320570001146,77.99320570001146,77.99320570001146,8.01352409995161,90.8265543000307,"umbrella
jewelery
elephant",[-0.003703703703703704],[-0.29074074074074074],[1],[0],[0],[12.83286040002713],['text_4'],5,001,2024-12-04_16h37.17.499,Solo_Project,2024.1.5,None,2024-12-04 16h37.30.650354 +0530,
