short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sun,,0,0,0,2,,,,,0.022985999996308237,,0.014822400000412017,0.022985999996308237,1.0021204000222497,1.0352004000451416,5.00195150001673,4.986449600022752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
egg,,0,1,1,3,,,,,5.00195150001673,,4.986987000040244,5.00195150001673,6.00217310001608,6.00217310001608,10.001622500014491,9.986207200039644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
bus,,0,2,2,1,,,,,10.001622500014491,,9.986775199999101,10.001622500014491,11.001539600023534,11.001539600023534,15.001405100047123,14.985701600031462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
air,,0,3,3,4,,,,,15.001405100047123,,14.986264600011054,15.001405100047123,16.00125480000861,16.00125480000861,20.001395600032993,19.985318100021686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
cat,,0,4,4,0,,,,,20.001395600032993,,19.985591500008013,20.001395600032993,21.001226700027473,21.001226700027473,25.000995500013232,24.98504600004526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,,,,,,,,,,,,,,,,,,24.985149700019974,25.000995500013232,33.000486300035845,33.000486300035845,33.000486300035845,8.00008450000314,57.218056400015485,"cat
bus
sun
egg
","[0.013888888888888888, -0.026851851851851852]","[0.002777777777777778, -0.30648148148148147]","[1, 1]","[0, 0]","[0, 0]","[4.208741499984171, 24.21703780000098]",['text_3'],,,,,,,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,mountain,,,,,0,0,0,2,57.232576000038534,,,,,,,,,,,,,,,,,,,,,,,57.22370640002191,57.232576000038534,58.23276550002629,58.23276550002629,62.2325898000272,62.21681440004613,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,umbrella,,,,,0,1,1,4,62.2325898000272,,,,,,,,,,,,,,,,,,,,,,,62.21731269999873,62.2325898000272,63.23214430001099,63.23214430001099,67.23222610005178,67.21640640002443,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,notebook,,,,,0,2,2,3,67.23222610005178,,,,,,,,,,,,,,,,,,,,,,,67.21689010004047,67.23222610005178,68.23193619999802,68.23193619999802,72.23188750003465,72.2162872000481,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,jewelery,,,,,0,3,3,1,72.23188750003465,,,,,,,,,,,,,,,,,,,,,,,72.2167541999952,72.23188750003465,73.23180500004673,73.23180500004673,77.23160490003647,77.21579810004914,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,crocodile,,,,,0,4,4,0,77.23160490003647,,,,,,,,,,,,,,,,,,,,,,,77.21621730003972,77.23160490003647,78.2314602000406,78.2314602000406,82.231605100038,82.21597860002657,,,,,,,,,,,,,,,,01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21606800000882,82.231605100038,90.23106430005282,90.23106430005282,90.23106430005282,8.012973100005183,105.69807560002664,"mountain
umbrella
jewelery
",[-0.05462962962962963],[-0.2861111111111111],[1],[0],[0],[15.466336800018325],['text_4'],01,001,2024-12-04_16h27.51.257,Solo_Project,2024.1.5,None,2024-12-04 16h28.05.439060 +0530,
