short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sun,,0,0,0,2,,,,,0.026292300026398152,,0.016015000001061708,0.026292300026398152,1.0115918000228703,1.028584600018803,5.011415300017688,4.9955058000050485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
cat,,0,1,1,0,,,,,5.011415300017688,,4.996063900005538,5.011415300017688,6.011215900012758,6.011215900012758,10.011041600024328,9.995618099987041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
air,,0,2,2,4,,,,,10.011041600024328,,9.99617609998677,10.011041600024328,11.01113160001114,11.01113160001114,15.01080920000095,14.99503360001836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
bus,,0,3,3,1,,,,,15.01080920000095,,14.995540700037964,15.01080920000095,16.010570999991614,16.010570999991614,20.010825000004843,19.99450110003818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
egg,,0,4,4,3,,,,,20.010825000004843,,19.995075299986638,20.010825000004843,21.010245400015265,21.010245400015265,25.01045780000277,24.9945788999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,,,,,,,,,,,,,,,,,,24.994710099999793,25.01045780000277,33.02784830000019,33.02784830000019,33.02784830000019,8.027417899982538,47.79387280001538,"sun
cat
air
egg
","[0.024074074074074074, 0.017592592592592594]","[-0.006481481481481481, -0.29074074074074074]","[1, 1]","[0, 0]","[0, 0]","[2.93642899999395, 14.765265399997588]",['text_3'],,,,,,,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,crocodile,,,,,0,0,0,0,47.81123920000391,,,,,,,,,,,,,,,,,,,,,,,47.804244500002824,47.81123920000391,48.809023100009654,48.8255662000156,52.80864780000411,52.79303960001562,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,jewelery,,,,,0,1,1,1,52.80864780000411,,,,,,,,,,,,,,,,,,,,,,,52.79362690000562,52.80864780000411,53.8086146999849,53.8086146999849,57.808520500024315,57.79299839999294,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,mountain,,,,,0,2,2,2,57.808520500024315,,,,,,,,,,,,,,,,,,,,,,,57.79371460003313,57.808520500024315,58.80853700003354,58.80853700003354,62.80851830000756,62.79286620003404,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,umbrella,,,,,0,3,3,4,62.80851830000756,,,,,,,,,,,,,,,,,,,,,,,62.79347510001389,62.80851830000756,63.80832890002057,63.80832890002057,67.8081529000192,67.79278509999858,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,notebook,,,,,0,4,4,3,67.8081529000192,,,,,,,,,,,,,,,,,,,,,,,67.79330040002242,67.8081529000192,68.80787980003515,68.80787980003515,72.80788390000816,72.79215330001898,,,,,,,,,,,,,,,,828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79227840004023,72.80788390000816,80.80749249999644,80.80749249999644,80.80749249999644,8.01351220003562,100.60855440003797," umbrella
mountain
crocodile",[0.025],[-0.30833333333333335],[1],[0],[0],[19.80013059999328],['text_4'],828202,001,2024-12-04_17h09.30.892,Solo_Project,2024.1.5,None,2024-12-04 17h09.40.622893 +0530,
