short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cat,,0,0,0,0,,,,,0.02048030000878498,,0.013207599986344576,0.02048030000878498,1.0107236999901943,1.0272687000106089,5.010423000028823,4.994751100020949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
air,,0,1,1,4,,,,,5.010423000028823,,4.995262600015849,5.010423000028823,6.010436100012157,6.010436100012157,10.010192800022196,9.994185900024604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
egg,,0,2,2,3,,,,,10.010192800022196,,9.994567000016104,10.010192800022196,11.010223300021607,11.010223300021607,15.01001389999874,14.994185200019274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
sun,,0,3,3,2,,,,,15.01001389999874,,14.994774600025266,15.01001389999874,16.009952099993825,16.009952099993825,20.009634100017138,19.993939500011038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
bus,,0,4,4,1,,,,,20.009634100017138,,19.994414900022093,20.009634100017138,21.009535200020764,21.009535200020764,25.0094698999892,24.993662900000345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,,,,,,,,,,,,,,,,,,24.99376659997506,25.0094698999892,33.008939300023485,33.008939300023485,33.008939300023485,8.008661500003655,47.44381169998087,"cat
air
egg
sun","[-0.01574074074074074, 0.017592592592592594]","[-0.018518518518518517, -0.3212962962962963]","[1, 1]","[0, 0]","[0, 0]","[3.8390659000142477, 14.434025899972767]",['text_3'],,,,,,,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,jewelery,,,,,0,0,0,1,47.45828949997667,,,,,,,,,,,,,,,,,,,,,,,47.45002549997298,47.45828949997667,48.45829729997786,48.45829729997786,52.457899899978656,52.44232600001851,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,umbrella,,,,,0,1,1,4,52.457899899978656,,,,,,,,,,,,,,,,,,,,,,,52.44274119997863,52.457899899978656,53.457979700004216,53.457979700004216,57.457984899985604,57.44209500000579,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,crocodile,,,,,0,2,2,0,57.457984899985604,,,,,,,,,,,,,,,,,,,,,,,57.44254409999121,57.457984899985604,58.45766690000892,58.45766690000892,62.457639599975664,62.44160560000455,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,notebook,,,,,0,3,3,3,62.457639599975664,,,,,,,,,,,,,,,,,,,,,,,62.44201419997262,62.457639599975664,63.457385000016075,63.457385000016075,67.45722370001022,67.44135330000427,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,mountain,,,,,0,4,4,2,67.45722370001022,,,,,,,,,,,,,,,,,,,,,,,67.44173469999805,67.45722370001022,68.45721640001284,68.45721640001284,72.45718620001571,72.44126360001974,,,,,,,,,,,,,,,,011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44135169999208,72.45718620001571,80.45670520002022,80.45670520002022,80.45670520002022,8.012854400032666,100.32358790002763,"notebook
crocodile
mountain
jewelery","[-0.044444444444444446, -0.053703703703703705]","[0.022222222222222223, -0.2953703703703704]","[1, 1]","[0, 0]","[0, 0]","[0.4835900000180118, 19.866168300039135]",['text_4'],011,001,2024-12-04_16h30.14.948,Solo_Project,2024.1.5,None,2024-12-04 16h30.26.871899 +0530,
