short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
air,,0,0,0,4,,,,,0.023592399957124144,,0.014829499996267259,0.023592399957124144,1.005192399956286,1.0387218999676406,5.005597699957434,4.9897723000030965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
cat,,0,1,1,0,,,,,5.005597699957434,,4.990400999959093,5.005597699957434,6.0050466999528,6.0050466999528,10.0050373999984,9.989360699953977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
egg,,0,2,2,3,,,,,10.0050373999984,,9.98996569996234,10.0050373999984,11.004756299953442,11.004756299953442,15.00467979995301,14.988965599972289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
sun,,0,3,3,2,,,,,15.00467979995301,,14.989486499980558,15.00467979995301,16.004535499960184,16.004535499960184,20.0042298999615,19.98854399996344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
bus,,0,4,4,1,,,,,20.0042298999615,,19.989047199953347,20.0042298999615,21.004220600007102,21.004220600007102,25.004241799993906,24.98867789999349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,,,,,,,,,,,,,,,,,,24.988805799977854,25.004241799993906,33.00459199998295,33.00459199998295,33.00459199998295,8.004309099982493,49.82152649998898,"air
sun
egg
cat
bus","[0.03425925925925926, 0.03425925925925926, -0.024074074074074074]","[0.010185185185185186, 0.010185185185185186, -0.2953703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.320105199993122, 5.465910900034942, 16.81578400003491]",['text_3'],,,,,,,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,umbrella,,,,,0,0,0,4,49.83964639995247,,,,,,,,,,,,,,,,,,,,,,,49.83322699996643,49.83964639995247,50.836304700002074,50.85294749995228,54.83628210000461,54.820451300009154,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,notebook,,,,,0,1,1,3,54.83628210000461,,,,,,,,,,,,,,,,,,,,,,,54.82095219998155,54.83628210000461,55.83620359998895,55.83620359998895,59.83599970000796,59.82038279995322,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,mountain,,,,,0,2,2,2,59.83599970000796,,,,,,,,,,,,,,,,,,,,,,,59.82088269997621,59.83599970000796,60.83561389998067,60.83561389998067,64.83551519998582,64.8200966999866,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,jewelery,,,,,0,3,3,1,64.83551519998582,,,,,,,,,,,,,,,,,,,,,,,64.82066119997762,64.83551519998582,65.83552799996687,65.83552799996687,69.83546129998285,69.8193978999625,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,crocodile,,,,,0,4,4,0,69.83546129998285,,,,,,,,,,,,,,,,,,,,,,,69.8199323999579,69.83546129998285,70.83539409999503,70.83539409999503,74.83535429998301,74.81941019999795,,,,,,,,,,,,,,,,20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.81952229997842,74.83535429998301,82.83463860000484,82.83463860000484,82.83463860000484,8.013023599982262,102.8359964999836," umbrella
mountain
notebook
crocodile",[0.024074074074074074],[-0.28703703703703703],[1],[0],[0],[20.00012899999274],['text_4'],20,001,2024-12-04_17h18.24.178,Solo_Project,2024.1.5,None,2024-12-04 17h18.40.052249 +0530,
