short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.019104799954220653,,0.01175509998574853,0.019104799954220653,1.0148807999794371,1.031588899961207,5.015034599986393,4.9991761999554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
sun,,0,1,1,2,,,,,5.015034599986393,,4.999617599998601,5.015034599986393,6.015034299984109,6.015034299984109,10.014602299954277,9.998800699948333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
cat,,0,2,2,0,,,,,10.014602299954277,,9.999304299999494,10.014602299954277,11.014365599956363,11.014365599956363,15.014272699947469,14.998593099997379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
air,,0,3,3,4,,,,,15.014272699947469,,14.99920059996657,15.014272699947469,16.0142997999792,16.0142997999792,20.01398099999642,19.99835259997053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
egg,,0,4,4,3,,,,,20.01398099999642,,19.998889999988023,20.01398099999642,21.01397299999371,21.01397299999371,25.01386929996079,24.997816499962937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,,,,,,,,,,,,,,,,,,24.997896199987736,25.01386929996079,33.02821449999465,33.02821449999465,33.02821449999465,8.02797430002829,46.11495099996682,"cat
bus
sun
air
egg","[0.01574074074074074, 0.012962962962962963]","[0.000925925925925926, -0.3111111111111111]","[1, 1]","[0, 0]","[0, 0]","[5.167492900043726, 13.08595440001227]",['text_3'],,,,,,,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,mountain,,,,,0,0,0,2,46.12935129995458,,,,,,,,,,,,,,,,,,,,,,,46.12159579998115,46.12935129995458,47.129488299950026,47.129488299950026,51.1292474999791,51.112938099948224,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,crocodile,,,,,0,1,1,0,51.1292474999791,,,,,,,,,,,,,,,,,,,,,,,51.113263999985065,51.1292474999791,52.12910589994863,52.12910589994863,56.12893369997619,56.11329129996011,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,umbrella,,,,,0,2,2,4,56.12893369997619,,,,,,,,,,,,,,,,,,,,,,,56.11377189995255,56.12893369997619,57.128799599944614,57.128799599944614,61.12858329998562,61.11292459996184,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,notebook,,,,,0,3,3,3,61.12858329998562,,,,,,,,,,,,,,,,,,,,,,,61.11344259994803,61.12858329998562,62.128552399983164,62.128552399983164,66.12826699996367,66.11271419998957,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,jewelery,,,,,0,4,4,1,66.12826699996367,,,,,,,,,,,,,,,,,,,,,,,66.11323029996129,66.12826699996367,67.12838549999287,67.12838549999287,71.12817129999166,71.11235039995518,,,,,,,,,,,,,,,,539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11244029999943,71.12817129999166,79.127784399956,79.127784399956,79.127784399956,8.01277490000939,94.3967536999844,"mountain
crocodile
notebook",[0.030555555555555555],[-0.3111111111111111],[1],[0],[0],[15.268448600021657],['text_4'],539837,001,2024-12-04_16h41.57.510,Solo_Project,2024.1.5,None,2024-12-04 16h42.05.250401 +0530,
