short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.14454160002060235,,0.12568920000921935,0.14454160002060235,1.0124286000500433,1.1461590999970213,5.012416000012308,4.996554900018964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
egg,,0,1,1,3,,,,,5.012416000012308,,4.997092000034172,5.012416000012308,6.012395500030834,6.012395500030834,10.012342300033197,9.996484400006011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
air,,0,2,2,4,,,,,10.012342300033197,,9.997064399998635,10.012342300033197,11.012096900027245,11.012096900027245,15.012110200012103,14.99607890000334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
cat,,0,3,3,0,,,,,15.012110200012103,,14.996647700027097,15.012110200012103,16.01192760001868,16.01192760001868,20.011609600041993,19.99621410004329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
sun,,0,4,4,2,,,,,20.011609600041993,,19.996816600032616,20.011609600041993,21.01164909999352,21.01164909999352,25.011575400014408,24.995866600016598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,,,,,,,,,,,,,,,,,,24.99597829999402,25.011575400014408,33.02890239999397,33.02890239999397,33.02890239999397,8.028442799986806,42.47889720002422,"bus
air
egg
sun
cat","[-0.000925925925925926, 0.04814814814814815]","[0.010185185185185186, -0.3074074074074074]","[1, 1]","[0, 0]","[0, 0]","[2.380862799996976, 9.449130500026513]",['text_3'],,,,,,,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,crocodile,,,,,0,0,0,0,42.49757230002433,,,,,,,,,,,,,,,,,,,,,,,42.49060439999448,42.49757230002433,43.493942800036166,43.51072360004764,47.49357690004399,47.47803380002733,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,jewelery,,,,,0,1,1,1,47.49357690004399,,,,,,,,,,,,,,,,,,,,,,,47.47853890003171,47.49357690004399,48.493586500000674,48.493586500000674,52.493379699997604,52.47784390003653,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,mountain,,,,,0,2,2,2,52.493379699997604,,,,,,,,,,,,,,,,,,,,,,,52.47838790004607,52.493379699997604,53.49341779999668,53.49341779999668,57.49340320000192,57.477682500029914,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,umbrella,,,,,0,3,3,4,57.49340320000192,,,,,,,,,,,,,,,,,,,,,,,57.47818440000992,57.49340320000192,58.49307810002938,58.49307810002938,62.49308540002676,62.47720600001048,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,notebook,,,,,0,4,4,3,62.49308540002676,,,,,,,,,,,,,,,,,,,,,,,62.477708099992014,62.49308540002676,63.49278950004373,63.49278950004373,67.49286930001108,67.47710260003805,,,,,,,,,,,,,,,,273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47725480003282,67.49286930001108,75.49239740002668,75.49239740002668,75.49239740002668,8.013224399997853,88.94343050004682," crocodile
mountain
notebook","[0.010185185185185186, 0.04814814814814815]","[0.02962962962962963, -0.29814814814814816]","[1, 1]","[0, 0]","[0, 0]","[0.9170792000368237, 13.450019899988547]",['text_4'],273136,001,2024-12-04_17h13.39.894,Solo_Project,2024.1.5,None,2024-12-04 17h13.49.413449 +0530,
