short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
egg,,0,0,0,3,,,,,0.14298750000307336,,0.13032890000613406,0.14298750000307336,1.0082081999862567,1.1583894999930635,5.007782500004396,4.992032999987714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
cat,,0,1,1,0,,,,,5.007782500004396,,4.992609499953687,5.007782500004396,6.008036599960178,6.008036599960178,10.007756199978758,9.991909899981692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
bus,,0,2,2,1,,,,,10.007756199978758,,9.992455700004939,10.007756199978758,11.007481099979486,11.007481099979486,15.007989699952304,14.99189489998389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
sun,,0,3,3,2,,,,,15.007989699952304,,14.992400199989788,15.007989699952304,16.007485199952498,16.007485199952498,20.007306199986488,19.991592599952128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
air,,0,4,4,4,,,,,20.007306199986488,,19.99220969999442,20.007306199986488,21.007390499988105,21.007390499988105,25.007008699991275,24.99134359997697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,,,,,,,,,,,,,,,,,,24.991444999992382,25.007008699991275,33.006932299991604,33.006932299991604,33.006932299991604,8.006637899961788,56.35892529995181,"egg 
cat
bus
sun
air","[-0.05092592592592592, -0.023148148148148147]","[-0.012962962962962963, -0.2833333333333333]","[1, 1]","[0, 0]","[0, 0]","[8.531684800051153, 23.35089640005026]",['text_3'],,,,,,,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,notebook,,,,,0,0,0,3,56.37684399995487,,,,,,,,,,,,,,,,,,,,,,,56.37037799996324,56.37684399995487,57.37201549997553,57.38885589997517,61.37195859994972,61.356368499982636,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,crocodile,,,,,0,1,1,0,61.37195859994972,,,,,,,,,,,,,,,,,,,,,,,61.35693839995656,61.37195859994972,62.37190139997983,62.37190139997983,66.37152689998038,66.35591609997209,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,umbrella,,,,,0,2,2,4,66.37152689998038,,,,,,,,,,,,,,,,,,,,,,,66.35641859995667,66.37152689998038,67.37142229999881,67.37142229999881,71.37130780000007,71.3555936999619,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,mountain,,,,,0,3,3,2,71.37130780000007,,,,,,,,,,,,,,,,,,,,,,,71.35610579996137,71.37130780000007,72.37111039995216,72.37111039995216,76.37086189998081,76.35524939995958,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,jewelery,,,,,0,4,4,1,76.37086189998081,,,,,,,,,,,,,,,,,,,,,,,76.35575589997461,76.37086189998081,77.37106919998769,77.37106919998769,81.3709728999529,81.35505559999729,,,,,,,,,,,,,,,,417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.35516109998571,81.3709728999529,89.37169419997372,89.37169419997372,89.37169419997372,8.012610099976882,109.05441569996765,"crocodile 
jewelery 
notebook 
umbrella ",[0.06666666666666667],[-0.31851851851851853],[1],[0],[0],[19.681763499975204],['text_4'],417251,001,2024-12-04_16h51.52.508,Solo_Project,2024.1.5,None,2024-12-04 16h52.02.622912 +0530,
