short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.01753779995488003,,0.012059899978339672,0.01753779995488003,1.004160599957686,1.0206540999934077,5.003945300006308,4.988162499968894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
egg,,0,1,1,3,,,,,5.003945300006308,,4.988536199962255,5.003945300006308,6.004029800009448,6.004029800009448,10.003728999989107,9.988127999997232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
sun,,0,2,2,2,,,,,10.003728999989107,,9.988684399984777,10.003728999989107,11.003662600007374,11.003662600007374,15.003457699960563,14.987826699973084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
cat,,0,3,3,0,,,,,15.003457699960563,,14.98836969997501,15.003457699960563,16.003311200009193,16.003311200009193,20.00334329996258,19.98740280000493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
air,,0,4,4,4,,,,,20.00334329996258,,19.98786900000414,20.00334329996258,21.00334249995649,21.00334249995649,25.003117899992503,24.98727849998977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,,,,,,,,,,,,,,,,,,24.987404399958905,25.003117899992503,33.00402459996985,33.00402459996985,33.00402459996985,8.003708600008395,42.78676479996648,"cat
air
egg
sun
bus","[-0.05555555555555555, 0.017592592592592594, -0.013888888888888888]","[0.018518518518518517, -0.33055555555555555, -0.28888888888888886]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.7517713999841362, 9.21525330003351, 9.782118800038006]",['text_3'],,,,,,,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,mountain,,,,,0,0,0,2,42.80270040000323,,,,,,,,,,,,,,,,,,,,,,,42.7937306999811,42.80270040000323,43.80202219996136,43.80202219996136,47.80188709998038,47.786144999961834,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,notebook,,,,,0,1,1,3,47.80188709998038,,,,,,,,,,,,,,,,,,,,,,,47.786571600008756,47.80188709998038,48.801767500001006,48.801767500001006,52.801774099993054,52.78581440000562,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,umbrella,,,,,0,2,2,4,52.801774099993054,,,,,,,,,,,,,,,,,,,,,,,52.78642129997024,52.801774099993054,53.80159749998711,53.80159749998711,57.801365899969824,57.78563449997455,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,jewelery,,,,,0,3,3,1,57.801365899969824,,,,,,,,,,,,,,,,,,,,,,,57.78612239996437,57.801365899969824,58.801241000008304,58.801241000008304,62.80084290000377,62.78539469995303,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,crocodile,,,,,0,4,4,0,62.80084290000377,,,,,,,,,,,,,,,,,,,,,,,62.78586909995647,62.80084290000377,63.801048499997705,63.801048499997705,67.8009294999647,67.78523719997611,,,,,,,,,,,,,,,,02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.78533029998653,67.8009294999647,75.80047999997623,75.80047999997623,75.80047999997623,8.013631100009661,90.75159159995383,"mountain
crocodile
jewelery","[0.014814814814814815, -0.03611111111111111, -0.026851851851851852]","[0.010185185185185186, -0.26666666666666666, -0.2972222222222222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.1173264000099152, 14.384440199995879, 14.950304700003471]",['text_4'],02,001,2024-12-04_16h32.31.736,Solo_Project,2024.1.5,None,2024-12-04 16h32.45.174865 +0530,
