trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.060017399955540895,,0.010806999984197319,5,0.060017399955540895,0.060017399955540895,0.045667999889701605,1.5236345999874175,[-0.21388888888888888],[-0.27870370370370373],[1],[0],[0],[1.476969200070016],[],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
1,0,1,0,1.5710401999531314,,1.5346073999535292,5,1.5710401999531314,1.5710401999531314,0.02972530003171414,3.8193287999602035,[0.1037037037037037],[0.46944444444444444],[1],[0],[0],[2.2562246000161394],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
2,0,2,0,3.8499236999778077,,3.8255289000226185,5,3.8499236999778077,3.8499236999778077,0.01776020007673651,5.119861699989997,[0.028703703703703703],[0.07592592592592592],[1],[0],[0],[1.2769246000098065],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
3,0,3,0,5.184829199919477,,5.127696699928492,10,5.184829199919477,5.184829199919477,0.04309679998550564,6.342214999953285,[-0.23055555555555557],[0.29907407407407405],[1],[0],[0],[1.172531499993056],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
4,0,4,0,6.4085601000115275,,6.347821899922565,10,6.4085601000115275,6.4085601000115275,0.04503240005578846,7.809679599944502,[0.3101851851851852],[-0.021296296296296296],[1],[0],[0],[1.4174666999606416],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
5,0,5,0,7.841627800022252,,7.815513800014742,5,7.841627800022252,7.841627800022252,0.016858500079251826,8.85285219992511,[-0.2574074074074074],[0.1287037037037037],[1],[0],[0],[1.0208105999045074],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
6,0,6,0,8.90967720001936,,8.860350799979642,5,8.90967720001936,8.90967720001936,0.03270330000668764,11.053203399991617,[0.3453703703703704],[-0.33425925925925926],[1],[0],[0],[2.160328899975866],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
7,0,7,0,11.132958599948324,,11.060917899943888,10,11.132958599948324,11.132958599948324,0.05296950007323176,13.109945399919525,[0.34814814814814815],[-0.41203703703703703],[1],[0],[0],[1.9969495999393985],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
8,0,8,0,13.168134699924849,,13.117736199987121,10,13.168134699924849,13.168134699924849,0.03534280008170754,14.441298599937,[0.3074074074074074],[-0.2814814814814815],[1],[0],[0],[1.2890850000549108],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
9,0,9,0,14.485140500008129,,14.448839199962094,5,14.485140500008129,14.485140500008129,0.026909400010481477,15.519089999957941,[0.03611111111111111],[-0.3074074074074074],[1],[0],[0],[1.0443671999964863],['target'],590460,001,2024-10-10_19h35.56.830,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h36.09.023322 +0530,
